Name;AddedVersion;RemovedVersion;ReAddedVersion;RenamedVersion
AddSleepSpeed;1.14.0;;;
AddTickSpeed;1.14.0;;;
AddTimerSpeed;1.14.0;;;
AdjustBoxedSystem;1.0.4;;;
AlertBeforeStart;1.14.1;;;
AlertFolder;0.5.0;;;
AlertProcess;;;;
AlertStartRunAccessDenied;1.6.0;;;
AllowBoxedJobs;0.8.5;;;
AllowCoverTaskbar;1.14.2;;;
AllowForceImmersive;1.16.0;;;
AllowForceSystem;1.16.0;;;
AllowNetworkAccess;0.9.0a;;;
AllowRawDiskRead;0.7.0;;;
AllowSandboxieLogon;0.2.2;;;
AllowSpoolerPrintToFile;;;;
AlwaysCloseForBoxed;0.8.0;;;
AlwaysShowReminder;1.3.0;;;
AlwaysUseWin32kHooks;1.0.3;1.0.11;;
AnonymousLogon;;;;
ApiTrace;1.13.0;;;
ApplyElevateCreateProcessFix;0.8.0;;;
ApproveWin32SysCall;1.3.0;;;
ApproveWinNtSysCall;1.3.0;;;
AutoDelete;;;;
AutoExec;;;;
AutoExecDisabled;;;;
AutoRecover;;;;
AutoRecoverIgnore;;;;
AutoRemove;1.7.1;;;
BindAdapter;1.15.12;;;
BindAdapterIP;1.15.10;;;
BlockDrivers;;0.0.0;;
BlockFakeInput;;0.0.0;;
BlockIEEmbedding;;;;
BlockInterferenceControl;1.13.6;;;
BlockInterferePower;1.13.2;;;
BlockNetParam;;;;
BlockNetworkFiles;;;;
BlockPassword;;;;
BlockPort;;0.0.0;;
BlockRegisterDeviceNotification;1.9.5;;;
BlockScreenCapture;1.13.6;;;
BlockSoftwareUpdaters;0.5.5;1.0.11;1.14.4;
BlockSysParam;;0.0.0;;
BlockWinHooks;;0.0.0;;
BlockWinRM;0.7.1;;;
BorderColor;;;;
BoxAlias;1.14.6;;;
BoxDisplayOrder;;;;
BoxGrouping;1.9.1;;;
BoxIcon;1.6.2;;;
BoxNameTitle;;;;
BoxRootFolder;;;;
BreakoutDocument;1.15.0;;;
BreakoutDocumentDisabled;1.15.0;;;
BreakoutDocumentProcess;1.15.1;;;
BreakoutFolder;1.0.8;;;
BreakoutFolderDisabled;1.0.8;;;
BreakoutProcess;1.0.8;;;
BreakoutProcessDisabled;1.0.8;;;
ByteOrderMark;;0.6.5;;
CallTrace;0.5.4c;;;
CallTraceEx;1.14.3;;;
ClosedClsid;0.5.3a;;;
ClosedClsidDisabled;0.5.3a;;;
ClosedFilePath;;;;
ClosedFilePathDisabled;;;;
ClosedIpcPath;;;;
ClosedIpcPathDisabled;;;;
ClosedKeyPath;;;;
ClosedKeyPathDisabled;;;;
ClosedRT;0.5.3a;;;
ClosedRTDisabled;0.5.3a;;;
ClosePrintSpooler;0.5.4;;;
CloseWinInetCache;1.4.1;1.8.0;;
ClsidTrace;;;;
ConfidentialBox;1.3.3;;;
ConfigLevel;;;;
CopyAlways;0.6.5;;;
CopyAlwaysDisabled;0.6.5;;;
CopyBlockDenyWrite;0.6.5;;;
CopyEmpty;0.6.5;;;
CopyEmptyDisabled;0.6.5;;;
CopyLimitKb;;;;
CopyLimitSilent;;;;
CopyTokenAttributes;1.14.1;;;
CoverBoxedWindows;1.13.6;;;
CpuAffinityMask;1.13.5;;;
CustomChromiumFlags;1.14.2;;;
CustomLCID;1.14.5;;;
DblClickAction;1.3.1;;;
DebugTrace;0.4.5;;;
DefaultBox;1.6.1a;;;
DefaultFolder;1.15.12;;;
DelayLoadDll;;;;
DeleteCommand;;;;
DenyHostAccess;1.3.3;;;
DeprecatedTokenHacks;1.8.2;;;
Description;;;;
DisableBoxedWinSxS;;;;
DisableCHPE;1.5.0;;;
DisableComProxy;0.9.7;;;
DisabledForceVolume;1.12.0;;;
DisableFileFilter;0.9.0a;;;
DisableForceRules;1.9.1;;;
DisableKeyFilter;0.9.0a;;;
DisableObjectFilter;0.9.2;;;
DisableResourceMonitor;0.8.0;;;
DisableRTBlacklist;1.0.7;;;
DisableSbieDll;1.7.0;;;
DisableWin32Hook;1.0.3;;;
DisableWinNtHook;1.3.0;;;
DiskSerialNumber;1.15.2;;;
DllSkipHook;0.9.1;;;
DnsTrace;1.4.0;;;
DontCopy;0.6.5;;;
DontCopyDisabled;0.6.5;;;
DontOpenForBoxed;1.0.0;;;
DropAdminRights;;;;
DropAppContainerToken;1.7.2;;;
DropChildProcessToken;1.15.6;;;
DropConHostIntegrity;0.7.3;;;
DynamicImageDetection;1.8.2;;;
EditAdminOnly;;;;
EditPassword;;;;
Enabled;;;;
EnableEFS;1.15.0;;;
EnableMiniDump;1.0.5;;;
EnableObjectFiltering;1.0.0;;;
EnableVerboseChecks;1.7.2;;;
EnableWin32Hook;1.0.3;;;
EnableWin32kHooks;1.0.0;;;
ErrorTrace;0.7.0;;;
ExcludeFromTerminateAll;1.12.0;;;
ExposeBoxedSystem;0.3.0;;;
ExternalManifestHack;1.1.2;;;
FakeAdminRights;0.7.1;;;
FakeAppContainerToken;1.8.2;;;
FileRootPath;;;;
FileTrace;0.4.5;;;
ForceChildren;1.14.5;;;
ForceChildrenDisabled;1.14.5;;;
ForceDisableAdminOnly;;;;
ForceDisableSeconds;;;;
ForceFolder;;;;
ForceFolderDisabled;;;;
ForceMarkOfTheWeb;1.16.0;;;
ForceProcess;;;;
ForceProcessDisabled;;;;
ForceProtectionOnMount;1.13.4;;;
ForceRestart;0.8.0;;;
ForceRestartAll;0.8.0;;;
ForceUsbDrives;1.12.0;;;
ForgetPassword;;;;
FuncSkipHook;1.0.21;;;
GuiTrace;;;;
HideDiskSerialNumber;1.14.7;;;
HideFirmwareInfo;1.14.2;;;
HideHostProcess;0.3.0;;;
HideNetworkAdapterMAC;1.14.7;;;
HideNonSystemProcesses;1.14.2;;;
HideOtherBoxes;0.3.0;;;
HideSbieProcesses;1.14.2;;;
HookTrace;1.15.5;;;
HostInjectDll;;;;
HostInjectDll64;;;;
HostInjectDllARM64;1.5.0;;;
HostInjectProcess;;;;
IContextMenuClsid;;;;
IgnoreWin32HookBlacklist;1.0.3;;;
ImportBox;1.16.0;;;
IniLocation;;;;
InjectDll;;;;
InjectDll64;;;;
InjectDllARM64;1.5.0;;;
IpcRootPath;;;;
IpcTrace;;;;
IsBlockCapture;1.13.2;;;1.13.6
IsProtectScreen;1.13.2;;;1.13.6
KeepLogonSession;1.14.1;;;
KeepTokenIntegrity;0.3.0;;;
KeepUserGroup;1.0.6;;;
KeyRootPath;;;;
KeyTrace;;;;
LeaderProcess;;;;
LeaderProcessDisabled;;;;
LingerExemptWnds;1.13.4;;;
LingerLeniency;1.0.7;;;
LingerProcess;;;;
LingerProcessDisabled;;;;
LockBoxToUser;1.15.0;;;
LogMessageEvents;1.15.2;;;
LowSleepSpeed;1.14.0;;;
LowTickSpeed;1.14.0;;;
LowTimerSpeed;1.14.0;;;
MarkOfTheWebBox;1.16.0;;;
MiniDumpFlags;1.0.5;;;
MonitorAdminOnly;;;;
MonitorStackTrace;1.9.6;;;
MsiInstallerExemptions;0.7.2;;;
NetFwTrace;0.9.0a;;;
NetworkAccess;0.9.0;;;
NetworkAccessDisabled;0.9.0;;;
NetworkAdapterMAC;1.15.2;;;
NetworkDnsFilter;1.14.0;;;
NetworkDnsFilterDisabled;1.14.0;;;
NetworkEnableWFP;0.9.0a;;;
NetworkProxyResolveHostnames;1.14.0;;;
NetworkUseProxy;1.14.0;;;
NetworkUseProxyDisabled;1.14.0;;;
NeverDelete;;;;
NeverRemove;1.10.1;;;
NoAddProcessToJob;0.3.5;;;
NoAutoExitExplorer;;;;
NoParallelLoading;1.7.0;;;
NoRenameWinClass;;;;
NoRenameWinClassDisabled;;;;
NoRestartOnPAC;1.1.0;;;1.11.4
NoRestartOnPCA;1.11.4;;;
NormalFilePath;1.0.0;;;
NormalFilePathDisabled;1.0.0;;;
NormalIpcPath;1.0.0;;;
NormalIpcPathDisabled;1.0.0;;;
NormalKeyPath;1.0.0;;;
NormalKeyPathDisabled;1.0.0;;;
NoSandboxieConsole;0.9.8;;;
NoSandboxieDesktop;0.4.5;;;
NoSandboxieRpcSs;1.5.0;;;
NoSecurityFiltering;1.0.0;;;
NoSecurityIsolation;1.0.0;;;
NoSysCallHooks;0.4.5;;;
Note;1.15.2;;;
NotifyBoxProtected;1.9.4;;;
NotifyDirectDiskAccess;;;;
NotifyForceProcessDisabled;1.3.2;;;
NotifyForceProcessEnabled;1.15.3;;;
NotifyImageLoadDenied;1.9.0;;;
